date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:44:29	196/196	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2007:14:31%20GMT	https://creazione.avanzare.co/gravity/demo/assets/fonts/glyphicons-halflings-regular.ttf	D:/My%20Web%20Sites/coming%20soooooon/creazione.avanzare.co/gravity/demo/assets/fonts/glyphicons-halflings-regular.ttf	(from https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css)
12:44:29	196/196	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2007:14:31%20GMT	https://creazione.avanzare.co/gravity/demo/assets/fonts/glyphicons-halflings-regular.svg	D:/My%20Web%20Sites/coming%20soooooon/creazione.avanzare.co/gravity/demo/assets/fonts/glyphicons-halflings-regular.svg	(from https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css)
12:44:30	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2021%20May%202020%2017:40:12%20GMT	https://creazione.avanzare.co/gravity/demo/assets/fonts/themify.eot	D:/My%20Web%20Sites/coming%20soooooon/creazione.avanzare.co/gravity/demo/assets/fonts/themify.eot	(from https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css)
12:44:31	56108/56108	---M--	200	added ('OK')	font/woff	etag:%22db2c-5a62c01388d5f%22	https://creazione.avanzare.co/gravity/demo/assets/fonts/themify.woff	D:/My%20Web%20Sites/coming%20soooooon/creazione.avanzare.co/gravity/demo/assets/fonts/themify.woff	(from https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css)
12:44:31	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221339c-5a62c01316922%22	https://creazione.avanzare.co/gravity/demo/assets/fonts/themify.eot?	D:/My%20Web%20Sites/coming%20soooooon/creazione.avanzare.co/gravity/demo/assets/fonts/themifyd41d.eot	(from https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css)
12:44:33	234269/234269	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2021%20May%202020%2017:40:12%20GMT	https://creazione.avanzare.co/gravity/demo/assets/fonts/themify.svg?-fvbane	D:/My%20Web%20Sites/coming%20soooooon/creazione.avanzare.co/gravity/demo/assets/fonts/themify9f24.svg	(from https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css)
12:44:33	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2211497-5a62c0120756c%22	https://creazione.avanzare.co/gravity/demo/assets/fonts/fontawesome-webfont.eot?v=4.7.0	D:/My%20Web%20Sites/coming%20soooooon/creazione.avanzare.co/gravity/demo/assets/fonts/fontawesome-webfont3e6e.eot	(from https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css)
12:44:33	78584/78584	---M--	200	added ('OK')	font/ttf	etag:%22132f8-5a62c013662e7%22	https://creazione.avanzare.co/gravity/demo/assets/fonts/themify.ttf	D:/My%20Web%20Sites/coming%20soooooon/creazione.avanzare.co/gravity/demo/assets/fonts/themify.ttf	(from https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css)
12:44:34	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2211497-5a62c0120756c%22	https://creazione.avanzare.co/gravity/demo/assets/fonts/fontawesome-webfont.eot?	D:/My%20Web%20Sites/coming%20soooooon/creazione.avanzare.co/gravity/demo/assets/fonts/fontawesome-webfontd41d.eot	(from https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css)
12:44:35	66624/66624	---M--	200	added ('OK')	font/woff2	etag:%2210440-5a62c012c7b9d%22	https://creazione.avanzare.co/gravity/demo/assets/fonts/fontawesome-webfont.woff2?v=4.7.0	D:/My%20Web%20Sites/coming%20soooooon/creazione.avanzare.co/gravity/demo/assets/fonts/fontawesome-webfont3e6e.woff2	(from https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css)
12:44:35	83588/83588	---M--	200	added ('OK')	font/woff	etag:%2214684-5a62c0128f12f%22	https://creazione.avanzare.co/gravity/demo/assets/fonts/fontawesome-webfont.woff?v=4.7.0	D:/My%20Web%20Sites/coming%20soooooon/creazione.avanzare.co/gravity/demo/assets/fonts/fontawesome-webfont3e6e.woff	(from https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css)
12:44:35	142072/142072	---M--	200	added ('OK')	font/ttf	etag:%2222af8-5a62c01276ebb%22	https://creazione.avanzare.co/gravity/demo/assets/fonts/fontawesome-webfont.ttf?v=4.7.0	D:/My%20Web%20Sites/coming%20soooooon/creazione.avanzare.co/gravity/demo/assets/fonts/fontawesome-webfont3e6e.ttf	(from https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css)
12:44:35	196/196	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2007:14:37%20GMT	https://creazione.avanzare.co/gravity/demo/assets/css/overlays/02.png	D:/My%20Web%20Sites/coming%20soooooon/creazione.avanzare.co/gravity/demo/assets/css/overlays/02.png	(from https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css)
12:44:36	365616/365616	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2021%20May%202020%2017:40:11%20GMT	https://creazione.avanzare.co/gravity/demo/assets/fonts/fontawesome-webfont.svg?v=4.7.0	D:/My%20Web%20Sites/coming%20soooooon/creazione.avanzare.co/gravity/demo/assets/fonts/fontawesome-webfont3e6e.svg	(from https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css)
12:44:36	78/78	---M--	200	added ('OK')	image/png	etag:%224e-5a62c01602292%22	https://creazione.avanzare.co/gravity/demo/assets/images/pattern.png	D:/My%20Web%20Sites/coming%20soooooon/creazione.avanzare.co/gravity/demo/assets/images/pattern.png	(from https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css)
